physical_error,no_qec_theory,perfect_uncorrectable_theory,perfect_exact_qec_infidelity,perfect_shot_logical_error
0.0,0.0,0.0,3.3306690738754696e-16,0.0
0.001,0.0006666666666666666,9.98001499598767e-06,6.651863700857241e-06,0.0
0.005,0.0033333333333333335,0.000247509362500023,0.00016482221234614958,0.001
0.01,0.006666666666666667,0.0009801496000000909,0.0006519700543217155,0.0
0.015,0.01,0.002183256337500092,0.001450597600000103,0.001
0.02,0.013333333333333334,0.0038423872000000747,0.002550034330865092,0.002
0.03,0.02,0.008472052800000102,0.005609523200000632,0.013
0.04,0.02666666666666667,0.014757990400000143,0.009748535624691579,0.015
0.05,0.03333333333333333,0.022592500000000265,0.014887901234567957,0.032
