physical_error_rate,qec_logical_infidelity,bare_physical_infidelity,qec_recovered_fidelity,bare_recovered_fidelity
0.0,3.3306690738754696e-16,0.0,0.9999999999999997,1.0000000000000002
0.001,6.651863700857241e-06,0.0006666666666665932,0.9999933481362991,0.9993333333333334
0.003111111111111111,6.40817475141553e-05,0.002074074074073895,0.9999359182524858,0.9979259259259261
0.005222222222222222,0.00017970960006985504,0.0034814814814811967,0.9998202903999301,0.9965185185185188
0.007333333333333333,0.0003527102036251506,0.0048888888888887205,0.9996472897963748,0.9951111111111113
0.009444444444444443,0.0005822639510143501,0.006296296296296244,0.9994177360489856,0.9937037037037038
0.011555555555555555,0.0008675568297358272,0.007703703703703546,0.9991324431702642,0.9922962962962965
0.013666666666666667,0.0012077804060610653,0.009111111111110848,0.9987922195939389,0.9908888888888892
0.015777777777777776,0.0016021318091206105,0.010518518518518372,0.9983978681908794,0.9894814814814816
0.017888888888888888,0.0020498137150058993,0.011925925925925673,0.9979501862849941,0.9880740740740743
0.02,0.002550034330865092,0.013333333333333308,0.9974499656691349,0.9866666666666667
0.025,0.003939783950618114,0.016666666666666496,0.9960602160493819,0.9833333333333335
0.037037037037037035,0.008414357937240213,0.024691358024691024,0.9915856420627598,0.975308641975309
0.049074074074074076,0.014372071796597163,0.03271604938271566,0.9856279282034028,0.9672839506172843
0.06111111111111111,0.021678633066616326,0.04074074074074052,0.9783213669333837,0.9592592592592595
0.07314814814814814,0.030205329959870353,0.04876543209876538,0.9697946700401296,0.9512345679012346
0.08518518518518517,0.03982893552636424,0.0567901234567898,0.9601710644736358,0.9432098765432102
0.09722222222222221,0.0504316118163225,0.06481481481481466,0.9495683881836775,0.9351851851851853
0.10925925925925925,0.06190081404297354,0.0728395061728393,0.9380991859570265,0.9271604938271607
0.12129629629629629,0.07412919474533974,0.08086419753086393,0.9258708052546603,0.9191358024691361
0.13333333333333333,0.08701450795102372,0.0888888888888888,0.9129854920489763,0.9111111111111112
0.14537037037037034,0.10045951333899228,0.09691358024691343,0.8995404866610077,0.9030864197530866
0.15740740740740738,0.11437188040236457,0.10493827160493818,0.8856281195976354,0.8950617283950618
0.16944444444444443,0.1286640926112006,0.11296296296296271,0.8713359073887994,0.8870370370370373
0.18148148148148147,0.1432533515752875,0.12098765432098757,0.8567466484247125,0.8790123456790124
0.19351851851851848,0.15806148120692431,0.1290123456790121,0.8419385187930757,0.8709876543209879
0.20555555555555552,0.17301483188371114,0.13703703703703696,0.8269851681162889,0.862962962962963
0.21759259259259256,0.18804418461133388,0.1450617283950616,0.8119558153886661,0.8549382716049384
0.2296296296296296,0.20308465518635344,0.15308641975308612,0.7969153448136466,0.8469135802469139
0.24166666666666664,0.2180755983589906,0.1611111111111111,0.7819244016410094,0.8388888888888889
0.25370370370370365,0.2329605119959126,0.16913580246913562,0.7670394880040874,0.8308641975308644
0.2657407407407407,0.24768694124302237,0.17716049382716048,0.7523130587569776,0.8228395061728395
0.2777777777777778,0.2622063826882426,0.185185185185185,0.7377936173117574,0.814814814814815
0.2898148148148148,0.2764741885243045,0.19320987654320976,0.7235258114756955,0.8067901234567902
0.3018518518518518,0.2904494707115334,0.2012345679012345,0.7095505292884666,0.7987654320987655
0.3138888888888889,0.3040950051406359,0.20925925925925914,0.6959049948593641,0.7907407407407409
0.3259259259259259,0.31737713579548665,0.21728395061728378,0.6826228642045133,0.7827160493827162
0.33796296296296297,0.33026567891591563,0.22530864197530853,0.6697343210840844,0.7746913580246915
0.35,0.34273382716049416,0.23333333333333317,0.6572661728395058,0.7666666666666668
