scale,mean_physical_error_rate,max_physical_error_rate,qec_recovered_fidelity,qec_logical_infidelity,p_q0,p_q1,p_q2,p_q3,p_q4
0.5,0.0008500000000000001,0.0012,0.9999952587276253,4.741272374708672e-06,0.0006,0.0009,0.00075,0.0012,0.0008
1.0,0.0017000000000000001,0.0024,0.999981069775365,1.8930224634949866e-05,0.0012,0.0018,0.0015,0.0024,0.0016
2.0,0.0034000000000000002,0.0048,0.9999245574731381,7.544252686186859e-05,0.0024,0.0036,0.003,0.0048,0.0032
5.0,0.008499999999999999,0.011999999999999999,0.999533676368213,0.0004663236317870023,0.005999999999999999,0.009,0.0075,0.011999999999999999,0.008
10.0,0.016999999999999998,0.023999999999999997,0.9981689571908259,0.0018310428091741215,0.011999999999999999,0.018,0.015,0.023999999999999997,0.016
20.0,0.033999999999999996,0.047999999999999994,0.9929444446344529,0.007055555365547139,0.023999999999999997,0.036,0.03,0.047999999999999994,0.032
40.0,0.06799999999999999,0.09599999999999999,0.9738416607505059,0.026158339249494067,0.047999999999999994,0.072,0.06,0.09599999999999999,0.064
80.0,0.13599999999999998,0.19199999999999998,0.9105592631842128,0.08944073681578724,0.09599999999999999,0.144,0.12,0.19199999999999998,0.128
120.0,0.20400000000000001,0.288,0.8291676189491194,0.1708323810508806,0.144,0.216,0.18,0.288,0.192
